Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.01.14	1838,88	397,54	575,257	57,74	35,78	94,72	31	99,12	57,74	172250	140,01	81,01	77,96	45,59	47,08	82,37
2014.01.15	1848,38	395,87	574,867	57,6	36,76	94,8	31,18	98,78	59,49	173665	140,62	81,07	77,66	46,4	48,27	82,89
2014.01.16	1845,89	395,8	578,67	57,19	36,89	94,64	31,17	98,94	58,99	172773	140,21	81,26	76,76	46,39	48,53	82,86
2014.01.17	1838,7	399,61	575,822	56,3	36,38	95,06	31,09	99,16	58,11	172350	140,46	81	76,19	46,39	48,35	82,2
2014.01.20	1838,7	399,61	575,822	56,3	36,38	95,06	31,09	99,16	58,11	172350	140,46	81	76,19	46,39	48,35	82,2
2014.01.21	1843,8	407,05	582,414	58,51	36,17	94,03	31,23	98,5	58,17	172500	141,67	80,46	75,84	46,5	47,7	82,92
2014.01.22	1844,86	404,54	583,074	57,51	35,93	94,32	31,27	97,88	57,59	172895	144,37	80,2	75,35	46,67	47,33	82,85
2014.01.23	1828,46	399,87	580,612	56,63	36,055	92,74	31,01	96,97	56,47	170310	141,31	80,24	74,96	46,35	47,86	82,43
2014.01.24	1790,29	387,6	562,459	54,45	36,805	90,61	30,09	94,85	55,09	168500	136,65	79,16	74,42	45,48	47,63	81,43
2014.01.27	1781,56	386,28	551,149	53,55	36,03	89,94	29,66	94,92	55,09	168210,91	137,36	78,94	74,15	45,53	47,69	82,06
